,logFC,AveExpr,t,P.Value,adj.P.Val,B
WFS1,-0.908698032,6.803294214,-7.820071862,4.58E-13,3.47E-11,19.21364478
SLC9A6,1.015071213,7.133695138,7.819956895,4.58E-13,3.47E-11,19.2129823
CACFD1,-0.748063104,6.482381143,-7.815316025,4.71E-13,3.55E-11,19.18624428
CDCA2,1.041601065,5.803558173,7.814702971,4.72E-13,3.55E-11,19.18271279
TRIL,-1.814546621,6.555846507,-7.811082783,4.82E-13,3.61E-11,19.16186141
RALA,-0.634115095,8.922097028,-7.806969226,4.94E-13,3.68E-11,19.13817399
C14orf28,-0.806932122,5.232802674,-7.806562775,4.96E-13,3.68E-11,19.13583381
SDF2,-0.982035463,7.497272215,-7.801690507,5.10E-13,3.78E-11,19.1077859
LOC101928535,-1.816937972,3.027413494,-7.801054689,5.12E-13,3.78E-11,19.10412634
FBXO17,1.812891316,4.480760615,7.794149502,5.33E-13,3.92E-11,19.06439162
TMEM39B,0.874165457,5.93581395,7.783498674,5.68E-13,4.16E-11,19.0031365
CECR7,1.472550867,3.346587401,7.771744968,6.08E-13,4.44E-11,18.93558545
DALRD3,-0.832759827,6.199620999,-7.764924535,6.33E-13,4.61E-11,18.89640961
POF1B,-1.547465964,3.126747524,-7.76182577,6.45E-13,4.68E-11,18.87861615
CHODL,1.590291661,4.5046574,7.755330117,6.70E-13,4.84E-11,18.84132853
COTL1,1.217985081,5.86963751,7.751835811,6.84E-13,4.93E-11,18.82127611
BOLA3-DT,1.456378819,3.470011602,7.748282089,6.98E-13,5.01E-11,18.80088722
ZFYVE16,-0.581034384,5.584052573,-7.745388136,7.10E-13,5.08E-11,18.784287
TAF5,0.701896349,5.780618014,7.737072646,7.46E-13,5.32E-11,18.73660471
TANC2,-1.381490212,5.069244199,-7.728318205,7.85E-13,5.58E-11,18.68643238
RAB17,-1.331337995,6.28440619,-7.713100144,8.59E-13,6.07E-11,18.59928263
LRRC31,-2.454564425,3.48695269,-7.712866211,8.60E-13,6.07E-11,18.59794362
CKS1B,0.881943804,9.699017905,7.709274771,8.78E-13,6.17E-11,18.57738898
MFSD2A,-1.027331602,4.655363053,-7.706060795,8.95E-13,6.27E-11,18.55899862
ILF2,0.859152537,10.04550526,7.686669138,1.00E-12,6.99E-11,18.4481196
TIFA,0.942901443,5.263244036,7.68636788,1.00E-12,6.99E-11,18.44639812
ZNF467,-0.835373044,4.705015849,-7.685744232,1.01E-12,6.99E-11,18.44283453
PELI1,0.961946681,7.085918146,7.681882288,1.03E-12,7.13E-11,18.42077014
WWTR1,1.02514044,7.30566902,7.678853395,1.05E-12,7.23E-11,18.40346904
ANKRD30B,-1.893552926,3.380588811,-7.658040002,1.19E-12,8.14E-11,18.28467362
SEMA3C,-1.577002404,7.1064416,-7.643970054,1.29E-12,8.80E-11,18.20445782
FZD7,1.334061901,7.78242853,7.643644713,1.29E-12,8.80E-11,18.20260385
NRK,-1.525582719,3.715661768,-7.63989445,1.32E-12,8.96E-11,18.18123561
CRYAB,2.291371596,7.650271908,7.638823245,1.33E-12,8.99E-11,18.17513306
CCNA2,1.013182404,6.717119946,7.636891613,1.34E-12,9.06E-11,18.1641298
