"gene_name","logFC","AveExpr","t","P.Value","adj.P.Val","B","regulation"
"ADAP2",2.83053107722768,6.65633611505822,16.4278046331963,1.97856790326614e-37,1.37279636354949e-34,74.4608847183473,"Upregulated"
"GPR34",2.82883551494189,6.28085355080291,11.6256204645394,1.42123377443877e-23,2.22428428683783e-21,42.9226692672913,"Upregulated"
"CXCL12",2.82705621489138,7.81019138290717,9.18240289104853,1.11121290042127e-16,7.2735523654933e-15,27.2497863413304,"Upregulated"
"SLC7A7",2.81937778301439,6.96358951605406,11.9769974992668,1.37411067944492e-24,2.44462511048257e-22,45.2321602049055,"Upregulated"
"IDO1",2.81307317144804,6.14892069999298,5.56295276256359,9.66687059031315e-08,9.93658821419103e-07,7.07286998197582,"Upregulated"
"IFI44L",2.81192034480923,8.27635425771246,5.79578105582056,3.05837860311213e-08,3.55842094040129e-07,8.18995766668346,"Upregulated"
"CD27",2.80776246258054,5.6471301793532,8.80114336481348,1.20160736510955e-15,6.74163269669951e-14,24.9034311291892,"Upregulated"
"FMO1",2.80125207573635,6.23864047773189,8.80575144891879,1.1677745130686e-15,6.58732425190323e-14,24.9315674443735,"Upregulated"
"PRRX1",2.80054706353297,7.19699594126282,9.91549035256377,1.04444063970018e-18,8.9834842625451e-17,31.853886447346,"Upregulated"
"CHI3L1",2.79107234107752,6.32651555563449,7.1307301927445,2.4532011856435e-11,6.07897412847254e-10,15.1492606122134,"Upregulated"
"IL2RG",2.7905529854968,6.45969524371271,8.15375361731787,6.26622144096502e-14,2.59496163597123e-12,21.0110493537587,"Upregulated"
"CD38",2.75757972662976,5.11712601004124,7.0911947804626,3.06533903228844e-11,7.3635724885868e-10,14.9309948278162,"Upregulated"
"IRF8",2.75464093856612,7.02987780420685,11.425284944332,5.36512525207528e-23,7.86444240295401e-21,41.6096838169607,"Upregulated"
"NLRC3",2.74973304120614,5.17898107242437,9.39339241740153,2.9329211790576e-17,2.07648824292803e-15,28.5632859204385,"Upregulated"
"CD86",2.74842745231336,5.53571191297658,12.4320281633551,6.6092549814405e-26,1.36209546968994e-23,48.2322453591278,"Upregulated"
"ALOX5AP",2.73782665739137,7.49229574346955,12.7118749808932,1.01909335145817e-26,2.30569870767411e-24,50.0807450728757,"Upregulated"
"GIMAP2",2.73646527080472,6.30134104003854,9.89957069509534,1.15710717385858e-18,9.79072594466114e-17,31.7527756449166,"Upregulated"
"MIR3142HG",2.72903169638757,4.34647963846629,8.24519433616416,3.61145214315252e-14,1.57594080418699e-12,21.5531189634676,"Upregulated"
"ITM2A",2.71989992872868,6.36807372100438,7.70780749137566,8.85652617324124e-13,2.98298693035625e-11,18.4078294125109,"Upregulated"
"TCF4",2.70920493754975,7.80432827306651,12.2984858594773,1.61168037364279e-25,3.19496447403569e-23,47.3509280516125,"Upregulated"
"IL10RA",2.70468154059961,6.85773292815065,12.0544517825498,8.20285805086963e-25,1.49774114323554e-22,45.7421897059978,"Upregulated"
"KCNJ2",2.70317079770498,5.71310630526747,11.1175456891551,4.10242227662065e-22,5.27110615357153e-20,39.5993233967614,"Upregulated"
"BLNK",2.68549487546558,7.51833861664645,8.96379771466986,4.37047868825421e-16,2.61412396252906e-14,25.8999557455189,"Upregulated"
"DCN",2.68106416485258,7.14780581815046,11.8487328227396,3.22675097509726e-24,5.41651786666528e-22,44.3882507387262,"Upregulated"
"BGN",2.67930194402175,7.85642277063299,9.94156948568949,8.83000040825676e-19,7.75512483113353e-17,32.0196211442228,"Upregulated"
"CRIP1",2.6714323523676,8.72012639446764,6.48516500259204,8.56532915769366e-10,1.42858434629322e-08,11.673361178197,"Upregulated"
"FABP7",2.64402769679229,4.18140059895831,6.20309248878379,3.80812412614791e-09,5.51608237200896e-08,10.2176399471605,"Upregulated"
"EVI2A",2.64264237585131,6.77845637595903,8.99901009819454,3.50804493352602e-16,2.10922608136705e-14,26.1165862952703,"Upregulated"
"TMEM200A",2.64205921374635,6.42355694168161,9.216842214091,8.94669522263248e-17,5.9307471674871e-15,27.4634893929891,"Upregulated"
"NOMO3",2.62258370771233,6.07866022484277,14.5764953495227,3.98357736314179e-32,1.72746172528742e-29,62.3925553958118,"Upregulated"
"HLA-DMB",2.61146188868715,8.1338674240224,11.0937296921758,4.80016216042699e-22,6.09240093715169e-20,39.4441116325687,"Upregulated"
"ICAM2",2.60487447365276,6.388020377089,11.1714982663785,2.87354723311328e-22,3.76181670800333e-20,39.9511461182335,"Upregulated"
"A2M-AS1",2.6031146483169,5.33996263353478,11.547640221909,2.38440524501234e-23,3.62550113160817e-21,42.4112310800728,"Upregulated"
"TNFRSF17",2.60190964329595,4.30947650473329,5.17772807304959,6.06241114787166e-07,5.06783486116259e-06,5.29613652703464,"Upregulated"
"GPR171",2.59839274770232,4.47715906681985,6.88992049214567,9.43188582832943e-11,1.98307781329977e-09,13.8303802806741,"Upregulated"
